Id,SalePrice
1461,11.526962
1462,5.8514905
1463,11.906162
1464,12.504357
1465,13.411077
1466,12.009423
1467,9.369778
1468,11.845881
1469,10.043157
1470,13.664117
1471,10.805985
1472,11.697886
1473,11.6524
1474,8.569865
1475,7.981798
1476,13.402246
1477,12.951028
1478,13.385691
1479,13.091431
1480,15.417557
1481,15.404134
1482,14.975067
1483,12.345954
1484,13.075592
1485,12.592301
1486,13.112535
1487,14.881497
1488,11.938382
1489,11.466384
1490,13.71136
1491,13.76666
1492,10.656964
1493,3.3385024
1494,13.002693
1495,14.239434
1496,14.329583
1497,13.484668
1498,10.503385
1499,10.38192
1500,13.197985
1501,12.804067
1502,13.600955
1503,3.6531332
1504,14.733506
1505,13.578614
1506,12.478812
1507,12.310429
1508,11.21845
1509,13.563857
1510,9.974463
1511,8.542884
1512,11.750953
1513,11.641787
1514,5.02309
1515,9.162177
1516,11.434495
1517,10.193887
1518,13.677125
1519,11.099697
1520,12.696937
1521,11.465863
1522,11.196778
1523,12.3205385
1524,13.557201
1525,14.702248
1526,12.481516
1527,13.122392
1528,12.5008335
1529,13.835796
1530,11.984624
1531,8.743469
1532,13.422641
1533,11.73229
1534,9.669604
1535,10.18899
1536,15.538429
1537,11.899441
1538,8.486075
1539,3.234303
1540,13.101821
1541,12.580881
1542,10.1256485
1543,7.7318096
1544,13.884901
1545,16.293535
1546,13.264651
1547,12.957871
1548,13.9349575
1549,11.053683
1550,12.951829
1551,13.004853
1552,11.522982
1553,9.616015
1554,12.389489
1555,12.893088
1556,11.205571
1557,11.652281
1558,10.220031
1559,12.161789
1560,8.666823
1561,7.5574346
1562,11.70755
1563,11.674823
1564,13.496818
1565,12.769032
1566,12.402489
1567,12.65252
1568,15.7865095
1569,13.303113
1570,11.455325
1571,13.432733
1572,10.770978
1573,10.621823
1574,7.2786984
1575,10.625735
1576,10.953384
1577,12.269156
1578,9.014572
1579,5.8679833
1580,12.312083
1581,10.5881405
1582,11.743377
1583,14.423105
1584,13.106392
1585,12.092297
1586,12.672886
1587,5.06352
